-479,055  0,0005293875
-478,3225  0,0005214786
-477,59  0,000513085
-476,8575  0,0005042058
-476,125  0,0004948473
-475,3925  0,0004850251
-474,66  0,0004747637
-473,9275  0,0004640952
-473,195  0,000453057
-472,4625  0,00044169
-471,73  0,0004300387
-470,9975  0,0004181521
-470,265  0,0004060848
-469,5325  0,0003938976
-468,8  0,0003816554
-468,0675  0,0003694249
-467,335  0,0003572716
-466,6025  0,0003452581
-465,87  0,0003334436
-465,1375  0,0003218845
-464,405  0,000310635
-463,6725  0,0002997474
-462,94  0,0002892708
-462,2075  0,0002792488
-461,475  0,0002697183
-460,7425  0,0002607084
-460,01  0,0002522406
-459,2775  0,0002443304
-458,545  0,0002369874
-457,8125  0,0002302159
-457,08  0,0002240138
-456,3475  0,0002183725
-455,615  0,0002132768
-454,8825  0,0002087055
-454,15  0,0002046339
-453,4175  0,0002010352
-452,685  0,0001978816
-451,9525  0,0001951437
-451,22  0,0001927899
-450,4875  0,0001907853
-449,755  0,0001890921
-449,0225  0,0001876712
-448,29  0,0001864844
-447,5575  0,0001854973
-446,825  0,0001846797
-446,0925  0,0001840057
-445,36  0,0001834524
-444,6275  0,0001829978
-443,895  0,0001826208
-443,1625  0,0001823018
-442,43  0,0001820241
-441,6975  0,0001817758
-440,965  0,0001815508
-440,2325  0,0001813479
-439,5  0,0001811702
-438,7675  0,0001810231
-438,035  0,000180913
-437,3025  0,000180848
-436,57  0,0001808379
-435,8375  0,0001808961
-435,105  0,0001810397
-434,3725  0,0001812896
-433,64  0,0001816694
-432,9075  0,0001822035
-432,175  0,0001829157
-431,4425  0,000183828
-430,71  0,0001849611
-429,9775  0,0001863342
-429,245  0,000187966
-428,5125  0,0001898742
-427,78  0,0001920746
-427,0475  0,0001945797
-426,315  0,0001973975
-425,5825  0,0002005306
-424,85  0,000203978
-424,1175  0,0002077354
-423,385  0,0002117974
-422,6525  0,000216158
-421,92  0,0002208097
-421,1875  0,000225742
-420,455  0,0002309404
-419,7225  0,000236386
-418,99  0,0002420571
-418,2575  0,0002479316
-417,525  0,0002539895
-416,7925  0,0002602148
-416,06  0,0002665957
-415,3275  0,0002731236
-414,595  0,0002797924
-413,8625  0,0002865983
-413,13  0,0002935406
-412,3975  0,0003006232
-411,665  0,0003078566
-410,9325  0,0003152583
-410,2  0,0003228532
-409,4675  0,0003306728
-408,735  0,0003387537
-408,0025  0,0003471374
-407,27  0,0003558698
-406,5375  0,0003650009
-405,805  0,000374585
-405,0725  0,0003846796
-404,34  0,0003953452
-403,6075  0,0004066432
-402,875  0,0004186346
-402,1425  0,0004313786
-401,41  0,0004449312
-400,6775  0,0004593443
-399,945  0,0004746656
-399,2125  0,0004909386
-398,48  0,0005082025
-397,7475  0,0005264928
-397,015  0,0005458409
-396,2825  0,000566274
-395,55  0,0005878145
-394,8175  0,0006104805
-394,085  0,0006342859
-393,3525  0,0006592418
-392,62  0,0006853582
-391,8875  0,0007126453
-391,155  0,0007411153
-390,4225  0,0007707828
-389,69  0,0008016653
-388,9575  0,0008337835
-388,225  0,0008671614
-387,4925  0,0009018271
-386,76  0,0009378134
-386,0275  0,0009751575
-385,295  0,001013901
-384,5625  0,001054089
-383,83  0,001095764
-383,0975  0,00113897
-382,365  0,001183743
-381,6325  0,001230113
