t	real_E_t	imag_E_t
-6.96178732755463e-12	0	0
-6.95983396410695e-12	0	0
-6.95788060065926e-12	0	0
-6.95592723721157e-12	0	0
-6.95397387376389e-12	0	0
-6.9520205103162e-12	0	0
-6.95006714686851e-12	0	0
-6.94811378342083e-12	0	0
-6.94616041997314e-12	0	0
-6.94420705652546e-12	0	0
-6.94225369307777e-12	0	0
-6.94030032963008e-12	0	0
-6.9383469661824e-12	0	0
-6.93639360273471e-12	0	0
-6.93444023928702e-12	0	0
-6.93248687583934e-12	0	0
-6.93053351239165e-12	0	0
-6.92858014894396e-12	0	0
-6.92662678549628e-12	0	0
-6.92467342204859e-12	0	0
-6.9227200586009e-12	0	0
-6.92076669515322e-12	0	0
-6.91881333170553e-12	0	0
-6.91685996825784e-12	0	0
-6.91490660481016e-12	0	0
-6.91295324136247e-12	0	0
-6.91099987791478e-12	0	0
-6.9090465144671e-12	0	0
-6.90709315101941e-12	0	0
-6.90513978757173e-12	0	0
-6.90318642412404e-12	0	0
-6.90123306067635e-12	0	0
-6.89927969722867e-12	0	0
-6.89732633378098e-12	0	0
-6.89537297033329e-12	0	0
-6.89341960688561e-12	0	0
-6.89146624343792e-12	0	0
-6.88951287999023e-12	0	0
-6.88755951654255e-12	0	0
-6.88560615309486e-12	0	0
-6.88365278964717e-12	0	0
-6.88169942619949e-12	0	0
-6.8797460627518e-12	0	0
-6.87779269930411e-12	0	0
-6.87583933585643e-12	0	0
-6.87388597240874e-12	0	0
-6.87193260896105e-12	0	0
-6.86997924551337e-12	0	0
-6.86802588206568e-12	0	0
-6.866072518618e-12	0	0
-6.86411915517031e-12	0	0
-6.86216579172262e-12	0	0
-6.86021242827494e-12	0	0
-6.85825906482725e-12	0	0
-6.85630570137956e-12	0	0
-6.85435233793188e-12	0	0
-6.85239897448419e-12	0	0
-6.8504456110365e-12	0	0
-6.84849224758882e-12	0	0
-6.84653888414113e-12	0	0
-6.84458552069344e-12	0	0
-6.84263215724576e-12	0	0
-6.84067879379807e-12	0	0
-6.83872543035038e-12	0	0
-6.8367720669027e-12	0	0
-6.83481870345501e-12	0	0
-6.83286534000732e-12	0	0
-6.83091197655964e-12	0	0
-6.82895861311195e-12	0	0
-6.82700524966427e-12	0	0
-6.82505188621658e-12	0	0
