m_wavelength	m_R	m_GDD
1124.000000	99.953570	-31.854400
1126.000000	99.950130	-32.668600
1128.000000	99.946350	-33.661200
1130.000000	99.942190	-34.856500
1132.000000	99.937600	-36.281800
1134.000000	99.932530	-37.967200
1136.000000	99.926910	-39.946400
1138.000000	99.920690	-42.256800
1140.000000	99.913780	-44.940600
1142.000000	99.906090	-48.045200
1144.000000	99.897510	-51.623800
1146.000000	99.887920	-55.737300
1148.000000	99.877190	-60.454500
1150.000000	99.865130	-65.854200
1152.000000	99.851570	-72.026900
1154.000000	99.836270	-79.076800
1156.000000	99.818970	-87.124500
1158.000000	99.799360	-96.310400
1160.000000	99.777060	-106.798000
1162.000000	99.751630	-118.779000
1164.000000	99.722550	-132.480000
1166.000000	99.689190	-148.167000
1168.000000	99.650790	-166.157000
1170.000000	99.606450	-186.827000
1172.000000	99.555050	-210.629000
1174.000000	99.495270	-238.103000
1176.000000	99.425460	-269.901000
1178.000000	99.343610	-306.809000
1180.000000	99.247260	-349.777000
1182.000000	99.133330	-399.960000
1184.000000	98.998040	-458.753000
1186.000000	98.836630	-527.847000
1188.000000	98.643190	-609.281000
1190.000000	98.410280	-705.494000
1192.000000	98.128560	-819.369000
1194.000000	97.786290	-954.239000
1196.000000	97.368800	-1113.820000
1198.000000	96.857770	-1301.970000
1200.000000	96.230690	-1522.190000
1202.000000	95.460350	-1776.600000
1204.000000	94.514970	-2064.070000
1206.000000	93.359430	-2377.130000
1208.000000	91.958590	-2697.190000
1210.000000	90.284150	-2988.350000
1212.000000	88.326010	-3191.260000
1214.000000	86.108200	-3221.710000
1216.000000	83.705730	-2982.240000
1218.000000	81.253320	-2395.090000
1220.000000	78.934250	-1453.210000
1222.000000	76.942650	-261.329000
1224.000000	75.430240	976.659000
1226.000000	74.463690	2036.380000
1228.000000	74.015590	2767.650000
1230.000000	73.989110	3136.700000
1232.000000	74.257160	3201.110000
1234.000000	74.695630	3056.370000
1236.000000	75.201780	2793.590000
1238.000000	75.699480	2480.730000
1240.000000	76.136570	2160.880000
1242.000000	76.479250	1857.610000
1244.000000	76.706390	1581.550000
1246.000000	76.804750	1335.670000
1248.000000	76.765470	1118.820000
1250.000000	76.581580	927.881000
1252.000000	76.246320	758.996000
1254.000000	75.751970	608.209000
1256.000000	75.089010	471.748000
1258.000000	74.245560	346.136000
1260.000000	73.206850	228.202000
1262.000000	71.954870	115.043000
1264.000000	70.468050	3.970710
1266.000000	68.721020	-107.545000
1268.000000	66.684610	-221.931000
1270.000000	64.326090	-341.553000
1272.000000	61.609960	-468.763000
1274.000000	58.499440	-605.970000
1276.000000	54.959250	-755.782000
1278.000000	50.960090	-921.376000
1280.000000	46.485350	-1107.400000
1282.000000	41.540770	-1322.190000
1284.000000	36.166950	-1582.870000
1286.000000	30.453830	-1927.750000
1288.000000	24.554680	-2446.490000
1290.000000	18.694430	-3360.490000
1292.000000	13.165570	-5263.920000
1294.000000	8.304810	-9981.520000
1296.000000	4.448490	-24309.700000
1298.000000	1.873830	-76885.000000
1300.000000	0.743010	-98453.100000
