t_laura        	Et_real        	Et_imag        	Et_abs         
-3.500000000000000e-12	-1.945875405275024e-04	9.189729164637504e-04	9.393484615000088e-04
-3.480000000000000e-12	-5.122081341438894e-04	8.078042252693281e-04	9.565065807646824e-04
-3.460000000000000e-12	-8.561471085108023e-04	-1.156100263436384e-04	8.639175594942981e-04
-3.440000000000000e-12	-2.383951481321655e-04	-9.731805069737004e-04	1.001954363135640e-03
-3.420000000000000e-12	1.141691691983735e-03	-1.594460185248818e-03	1.961061753716179e-03
-3.400000000000000e-12	2.237492512157423e-03	-1.404307554382770e-03	2.641676068191755e-03
-3.380000000000000e-12	2.625919066369930e-03	-4.693751489995681e-04	2.667538935727741e-03
-3.360000000000000e-12	1.636384794800793e-03	-2.930419397720633e-06	1.636387418679660e-03
-3.340000000000000e-12	-5.357011080944275e-04	-1.432987030289140e-04	5.545360182200668e-04
-3.320000000000000e-12	-2.008391021027986e-03	-5.676862731337138e-04	2.087079825509864e-03
-3.300000000000000e-12	-2.144487676854112e-03	-1.323379313085648e-03	2.519952420678254e-03
-3.280000000000000e-12	-1.697613697478430e-03	-1.959851347376471e-03	2.592857414066526e-03
-3.260000000000000e-12	-1.417261540251666e-03	-2.226708167706847e-03	2.639480922001314e-03
-3.240000000000000e-12	-1.144968072881820e-03	-2.368438322900606e-03	2.630675194185505e-03
-3.220000000000000e-12	-5.697315880824136e-04	-1.998441022493716e-03	2.078066553997884e-03
-3.200000000000000e-12	-1.223626776487098e-04	-1.414277927023353e-03	1.419561439229326e-03
-3.180000000000000e-12	2.507074773507274e-04	-1.915562439426188e-03	1.931898987664721e-03
-3.160000000000000e-12	6.775143499074753e-04	-2.980862303739234e-03	3.056888249214243e-03
-3.140000000000000e-12	1.154610427050231e-03	-2.381795603395651e-03	2.646899230157425e-03
-3.120000000000000e-12	1.545040856422519e-03	-7.210215560950656e-04	1.704999510958458e-03
-3.100000000000000e-12	1.441886925435877e-03	2.220077054189638e-04	1.458878105603179e-03
-3.080000000000000e-12	1.037462915526804e-03	1.519427642106611e-03	1.839834139451443e-03
