m_wavelength	m_R	m_GDD
862.000000	5.652500	-10445.174435
863.000000	8.804100	-5016.645783
864.000000	12.476500	-2518.650746
865.000000	16.450600	-1256.449910
866.000000	20.522500	-573.789449
867.000000	24.521100	-191.707981
868.000000	28.314600	21.610942
869.000000	31.809300	134.642617
870.000000	34.944800	185.751866
871.000000	37.685400	197.621628
872.000000	40.013600	184.108848
873.000000	41.922800	153.793590
874.000000	43.412000	111.962405
875.000000	44.482100	61.792107
876.000000	45.132700	5.101886
877.000000	45.359700	-57.128206
878.000000	45.154100	-124.345713
879.000000	44.500800	-196.015189
880.000000	43.378300	-271.085221
881.000000	41.759400	-347.144740
882.000000	39.612600	-418.930278
883.000000	36.905800	-475.513479
884.000000	33.613800	-495.520741
885.000000	29.730000	-431.391957
886.000000	25.286700	-190.393512
887.000000	20.382800	443.285890
888.000000	15.220600	2017.765090
889.000000	10.141500	6217.247159
890.000000	5.641700	19798.538523
891.000000	2.336700	78576.801757
892.000000	0.846400	109335.872748
893.000000	1.614000	-134560.724715
894.000000	4.733400	-33597.076653
895.000000	9.890700	-10216.258363
896.000000	16.466000	-3433.244023
897.000000	23.735400	-861.633939
898.000000	31.056100	244.162191
899.000000	37.966100	716.930807
900.000000	44.195000	882.305908
901.000000	49.625000	891.638547
902.000000	54.238400	821.945727
903.000000	58.072900	713.388211
904.000000	61.189000	586.186504
905.000000	63.650500	449.181756
906.000000	65.512000	304.321883
907.000000	66.812200	148.869533
908.000000	67.569000	-23.838163
909.000000	67.774500	-224.735830
910.000000	67.388200	-470.458089
911.000000	66.326800	-786.064469
912.000000	64.447100	-1209.336313
913.000000	61.519300	-1796.085733
914.000000	57.188100	-2620.737669
915.000000	50.926600	-3740.432541
916.000000	42.030700	-4956.798011
917.000000	29.867800	-4376.323696
918.000000	15.063700	14059.533394
919.000000	2.593300	527471.458269
920.000000	3.108200	-496695.588764
921.000000	20.921600	-15836.286496
922.000000	44.709100	7934.985645
923.000000	63.816200	9143.703050
924.000000	76.444400	7001.856707
925.000000	84.341500	4960.938452
926.000000	89.291100	3498.421723
927.000000	92.465000	2511.010107
928.000000	94.558700	1846.046188
929.000000	95.979100	1390.953314
930.000000	96.968200	1072.562553
931.000000	97.673200	844.616434
932.000000	98.186200	677.759764
933.000000	98.566400	553.073096
934.000000	98.852900	458.120618
935.000000	99.072000	384.557309
936.000000	99.241700	326.668335
937.000000	99.374700	280.463700
938.000000	99.480100	243.106770
939.000000	99.564400	212.546664
940.000000	99.632500	187.277317
941.000000	99.687900	166.176699
942.000000	99.733400	148.397671
943.000000	99.771000	133.292701
944.000000	99.802200	120.361133
945.000000	99.828300	109.211742
946.000000	99.850300	99.535775
947.000000	99.868800	91.087318
948.000000	99.884600	83.668807
949.000000	99.898100	77.120249
950.000000	99.909700	71.311091
951.000000	99.919700	66.134046
952.000000	99.928300	61.500367
953.000000	99.935800	57.336171
954.000000	99.942300	53.579593
955.000000	99.948000	50.178195
956.000000	99.953000	47.088918
957.000000	99.957400	44.273198
958.000000	99.961300	41.699319
959.000000	99.964700	39.339748
960.000000	99.967800	37.170740
961.000000	99.970500	35.171738
962.000000	99.972900	33.324875
963.000000	99.975100	31.614563
964.000000	99.977000	30.027157
965.000000	99.978800	28.550670
966.000000	99.980300	27.174539
967.000000	99.981800	25.889427
968.000000	99.983000	24.687055
969.000000	99.984200	23.560066
970.000000	99.985300	22.501897
971.000000	99.986200	21.506685
972.000000	99.987100	20.569176
973.000000	99.987900	19.684649
974.000000	99.988600	18.848857
975.000000	99.989300	18.057966
976.000000	99.989900	17.308509
977.000000	99.990500	16.597345
978.000000	99.991000	15.921623
979.000000	99.991500	15.278747
980.000000	99.991900	14.666354
981.000000	99.992300	14.082283
982.000000	99.992700	13.524561
983.000000	99.993000	12.991378
984.000000	99.993300	12.481072
985.000000	99.993600	11.992118
986.000000	99.993900	11.523108
987.000000	99.994200	11.072747
988.000000	99.994400	10.639838
989.000000	99.994600	10.223272
990.000000	99.994800	9.822024
991.000000	99.995000	9.435143
992.000000	99.995200	9.061745
993.000000	99.995400	8.701007
994.000000	99.995500	8.352163
995.000000	99.995700	8.014500
996.000000	99.995800	7.687350
997.000000	99.995900	7.370089
998.000000	99.996100	7.062134
999.000000	99.996200	6.762936
1000.000000	99.996300	6.471983
1001.000000	99.996400	6.188789
1002.000000	99.996500	5.912902
1003.000000	99.996600	5.643890
1004.000000	99.996600	5.381352
1005.000000	99.996700	5.124903
1006.000000	99.996800	4.874183
1007.000000	99.996800	4.628849
