m_wavelength	m_R	m_GDD
1229.0	22.5408	0.0
1230.0	24.965	0.0
1231.0	27.2631	0.0
1232.0	29.4206	0.0
1233.0	31.429	0.0
1234.0	33.2838	0.0
1235.0	34.984	0.0
1236.0	36.5309	0.0
1237.0	37.9275	0.0
1238.0	39.1778	0.0
1239.0	40.2865	0.0
1240.0	41.2583	0.0
1241.0	42.0984	0.0
1242.0	42.8116	0.0
1243.0	43.4024	0.0
1244.0	43.8753	0.0
1245.0	44.2342	0.0
1246.0	44.4825	0.0
1247.0	44.6235	0.0
1248.0	44.6599	0.0
1249.0	44.5941	0.0
1250.0	44.4282	0.0
1251.0	44.1638	0.0
1252.0	43.8023	0.0
1253.0	43.3451	0.0
1254.0	42.793	0.0
1255.0	42.1469	0.0
1256.0	41.4077	0.0
1257.0	40.576	0.0
1258.0	39.6528	0.0
1259.0	38.639	0.0
1260.0	37.5359	0.0
1261.0	36.3452	0.0
1262.0	35.0688	0.0
1263.0	33.7094	0.0
1264.0	32.2704	0.0
1265.0	30.7561	0.0
1266.0	29.1715	0.0
1267.0	27.5231	0.0
1268.0	25.8183	0.0
1269.0	24.0662	0.0
1270.0	22.2771	0.0
1271.0	20.4628	0.0
1272.0	18.6367	0.0
1273.0	16.8136	0.0
1274.0	15.0098	0.0
1275.0	13.2425	0.0
1276.0	11.53	0.0
1277.0	9.8911	0.0
1278.0	8.3446	0.0
1279.0	6.9093	0.0
1280.0	5.6029	0.0
1281.0	4.4417	0.0
1282.0	3.4401	0.0
1283.0	2.6101	0.0
1284.0	1.961	0.0
1285.0	1.4987	0.0
1286.0	1.226	0.0
1287.0	1.1423	0.0
1288.0	1.2435	0.0
1289.0	1.5227	0.0
1290.0	1.97	0.0
1291.0	2.5734	0.0
1292.0	3.3189	0.0
1293.0	4.1911	0.0
1294.0	5.1738	0.0
1295.0	6.2503	0.0
1296.0	7.404	0.0
1297.0	8.6186	0.0
1298.0	9.8786	0.0
1299.0	11.1694	0.0
1300.0	12.4773	0.0
