-637,275  0,0002376733
-636,5425  0,0002266217
-635,81  0,0002160027
-635,0775  0,0002058138
-634,345  0,000196051
-633,6125  0,000186708
-632,88  0,0001777775
-632,1475  0,0001692502
-631,415  0,000161116
-630,6825  0,0001533635
-629,95  0,0001459806
-629,2175  0,0001389545
-628,485  0,0001322718
-627,7525  0,0001259191
-627,02  0,000119883
-626,2875  0,0001141501
-625,555  0,0001087072
-624,8225  0,0001035419
-624,09  9,86419E-5
-623,3575  9,399589E-5
-622,625  8,959303E-5
-621,8925  8,542326E-5
-621,16  8,147721E-5
-620,4275  7,77462E-5
-619,695  7,422222E-5
-618,9625  7,089783E-5
-618,23  6,776613E-5
-617,4975  6,482063E-5
-616,765  6,205524E-5
-616,0325  5,94641E-5
-615,3  5,704154E-5
-614,5675  5,478201E-5
-613,835  5,267997E-5
-613,1025  5,072985E-5
-612,37  4,892602E-5
-611,6375  4,726271E-5
-610,905  4,573406E-5
-610,1725  4,433406E-5
-609,44  4,305658E-5
-608,7075  4,189541E-5
-607,975  4,084428E-5
-607,2425  3,989693E-5
-606,51  3,904713E-5
-605,7775  3,828875E-5
-605,045  3,761584E-5
-604,3125  3,702267E-5
-603,58  3,650379E-5
-602,8475  3,60541E-5
-602,115  3,566887E-5
-601,3825  3,534381E-5
-600,65  3,50751E-5
-599,9175  3,485939E-5
-599,185  3,469385E-5
-598,4525  3,457618E-5
-597,72  3,450459E-5
-596,9875  3,447782E-5
-596,255  3,449513E-5
-595,5225  3,455629E-5
-594,79  3,466155E-5
-594,0575  3,481166E-5
-593,325  3,500781E-5
-592,5925  3,525164E-5
-591,86  3,554519E-5
-591,1275  3,589092E-5
-590,395  3,629168E-5
-589,6625  3,675065E-5
-588,93  3,727136E-5
-588,1975  3,785768E-5
-587,465  3,851374E-5
-586,7325  3,924396E-5
-586  4,005302E-5
-585,2675  4,094583E-5
-584,535  4,192747E-5
-583,8025  4,300325E-5
-583,07  4,41786E-5
-582,3375  4,54591E-5
-581,605  4,685046E-5
-580,8725  4,835847E-5
-580,14  4,998904E-5
-579,4075  5,174815E-5
-578,675  5,36419E-5
-577,9425  5,56765E-5
-577,21  5,785828E-5
-576,4775  6,019376E-5
-575,745  6,268968E-5
-575,0125  6,535305E-5
-574,28  6,819121E-5
-573,5475  7,121192E-5
-572,815  7,442346E-5
-572,0825  7,783468E-5
-571,35  8,14551E-5
-570,6175  8,529501E-5
-569,885  8,936554E-5
-569,1525  9,367874E-5
-568,42  9,824766E-5
-567,6875  0,0001030863
-566,955  0,0001082099
-566,2225  0,0001136345
-565,49  0,0001193773
-564,7575  0,0001254564
-564,025  0,000131891
-563,2925  0,0001387007
-562,56  0,0001459059
-561,8275  0,0001535275
-561,095  0,0001615865
-560,3625  0,0001701039
-559,63  0,0001791005
-558,8975  0,0001885965
-558,165  0,0001986114
-557,4325  0,0002091635
-556,7  0,0002202697
-555,9675  0,0002319455
-555,235  0,0002442043
-554,5025  0,0002570575
-553,77  0,0002705141
-553,0375  0,000284581
-552,305  0,000299262
-551,5725  0,0003145585
-550,84  0,0003304693
-550,1075  0,0003469902
-549,375  0,0003641142
-548,6425  0,000381832
-547,91  0,0004001314
-547,1775  0,0004189978
-546,445  0,0004384142
-545,7125  0,0004583616
-544,98  0,0004788186
-544,2475  0,0004997623
-543,515  0,0005211679
-542,7825  0,0005430089
-542,05  0,0005652576
-541,3175  0,0005878849
