# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
998.583	2531
998.754	2511
998.925	2570
999.096	2572
999.267	2629
999.438	2703
999.609	2736
999.780	2862
999.951	2852
1000.122	2966
1000.293	3111
1000.464	3124
1000.635	3109
1000.806	3208
1000.977	3100
1001.148	3252
1001.319	3189
1001.490	3246
1001.661	3400
1001.832	3635
1002.003	3484
1002.174	3617
1002.345	3755
1002.516	3673
1002.687	3749
1002.858	3587
1003.029	3843
1003.200	3893
1003.371	3885
1003.542	3711
1003.713	3759
1003.884	3710
1004.055	3746
1004.226	3616
1004.397	3470
1004.568	3491
1004.739	3419
1004.910	3714
1005.081	3385
1005.252	3403
1005.423	3374
1005.594	3278
1005.765	3564
1005.936	3398
1006.106	3505
1006.277	3587
1006.448	3321
1006.619	3612
1006.790	3510
1006.961	3481
1007.132	3625
1007.303	3339
1007.474	3345
1007.645	3147
1007.816	2943
1007.987	3150
1008.158	2903
1008.329	2842
1008.500	2767
1008.671	2687
1008.842	2524
1009.013	2442
1009.184	2302
1009.355	2312
1009.526	2480
1009.697	2218
1009.868	2215
1010.039	2092
1010.210	2115
1010.381	2067
1010.552	1978
1010.723	1956
1010.894	1920
1011.065	1980
1011.236	1953
1011.407	2070
1011.578	2002
1011.749	2030
1011.920	1993
1012.091	1952
1012.262	2052
1012.433	2064
1012.604	2024
1012.775	2050
1012.946	2168
1013.117	2159
1013.288	2193
1013.459	2207
1013.630	2341
1013.801	2320
1013.972	2378
1014.143	2441
1014.314	2590
1014.485	2551
1014.656	2688
1014.827	2856
1014.998	2843
1015.169	2947
1015.340	2952
1015.511	3016
1015.681	3184
1015.852	3195
1016.023	3241
1016.194	3339
1016.365	3535
1016.536	3601
1016.707	3609
1016.878	3703
1017.049	3967
1017.220	4017
1017.391	4201
1017.562	4251
1017.733	4281
1017.904	4243
1018.075	4180
1018.246	4422
1018.417	4477
1018.588	4580
1018.759	4541
1018.930	4751
1019.101	5282
1019.272	5426
1019.443	5662
1019.614	6156
1019.785	6308
1019.956	6430
1020.127	6888
1020.298	6616
1020.469	6624
1020.640	7406
1020.811	7741
1020.982	7515
1021.153	8098
1021.324	8222
1021.495	8529
1021.666	10261
1021.837	10778
1022.008	11731
1022.179	12161
1022.350	12021
1022.521	12218
1022.692	11698
1022.863	14026
1023.034	14636
1023.205	15480
1023.376	15966
1023.547	16512
1023.718	15668
1023.889	16192
1024.060	16724
1024.231	15616
1024.402	15897
1024.573	14899
1024.744	11974
1024.915	10103
1025.085	8860
1025.256	8727
1025.427	8259
1025.598	7335
1025.769	6860
1025.940	6472
1026.111	6708
1026.282	7504
1026.453	7422
1026.624	7238
1026.795	7962
1026.966	7565
1027.137	8265
1027.308	8237
1027.479	7906
1027.650	7603
1027.821	8133
1027.992	7180
1028.163	6593
1028.334	5871
1028.505	5890
1028.676	5662
1028.847	5249
1029.018	5423
1029.189	5267
1029.360	5049
1029.531	5518
1029.702	5612
1029.873	5746
1030.044	5626
1030.215	5714
1030.386	5662
1030.557	5901
1030.728	5801
1030.899	6135
1031.070	6260
1031.241	6300
1031.412	6112
1031.583	6199
1031.754	5945
1031.925	6274
1032.096	6373
1032.267	6139
1032.438	5881
1032.609	5650
1032.780	5378
1032.951	5024
1033.122	4766
1033.293	4416
1033.464	4172
1033.635	3663
1033.806	3975
1033.977	3817
1034.148	4174
1034.319	4131
1034.489	4545
1034.660	4392
1034.831	4536
1035.002	4457
1035.173	4204
1035.344	3992
1035.515	4291
1035.686	3786
1035.857	3536
1036.028	3152
1036.199	2713
1036.370	2254
1036.541	2387
1036.712	2199
1036.883	2223
1037.054	2058
1037.225	2071
1037.396	2218
1037.567	2095
1037.738	1917
1037.909	2378
1038.080	2124
1038.251	2271
1038.422	2186
1038.593	2421
1038.764	2562
1038.935	2515
1039.106	2472
1039.277	2513
1039.448	2538
1039.619	2665
1039.790	2527
1039.961	2505
1040.132	2237
1040.303	2094
1040.474	2083
1040.645	2107
1040.816	2846
1040.987	2915
1041.158	3230
1041.329	3390
1041.500	3632
1041.671	4582
1041.842	4854
1042.013	5342
1042.184	5568
1042.355	6284
1042.526	6878
1042.697	7079
1042.868	7489
1043.039	8675
1043.210	9531
1043.381	10729
1043.552	11295
1043.723	11531
1043.894	12164
1044.064	11745
1044.235	11801
1044.406	11940
1044.577	11473
1044.748	10914
1044.919	10078
1045.090	9921
1045.261	8859
1045.432	7916
1045.603	8062
1045.774	8065
1045.945	7321
1046.116	7415
1046.287	7084
1046.458	6315
1046.629	5637
1046.800	5375
1046.971	4339
1047.142	3759
1047.313	3328
1047.484	3377
1047.655	2772
1047.826	2569
1047.997	2265
1048.168	2038
1048.339	1711
1048.510	1960
1048.681	1540
1048.852	1618
1049.023	1246
1049.194	1215
1049.365	1151
